image,Adidas,Amazon,BMW,Apple,Audi,Mercedes,Coca-Cola,DHL,Google,IKEA,InPost,KFC,McDonalds,Pepsi,NewYorker,Zara,Nike,UFC
dhl_val_09.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dhl_val_10.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
google_val_01.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_02.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_03.jpg,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
google_val_04.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_05.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_06.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_07.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_08.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_09.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
google_val_10.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ikea_val_01.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_02.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_03.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_04.jpg,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_05.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_06.jpg,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ikea_val_07.jpg,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ikea_val_08.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_09.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ikea_val_10.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
inpost_val_01.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_02.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_03.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_04.jpg,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
inpost_val_05.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_06.jpg,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
inpost_val_07.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_08.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_09.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inpost_val_10.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kfc_val_01.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_07.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_09.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
kfc_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
mcdonalds_val_01.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_02.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_03.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_04.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_05.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_06.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_07.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mcdonalds_val_08.jpg,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mcdonalds_val_09.jpg,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
mcdonalds_val_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mercedes_val_01.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_02.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mercedes_val_03.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
